Author,Gender,Race/Ethnicity,Unmarked White?,Annotator Notes,Source
Adam Shepard,M,White,,"""While he achieved his goals through hard work and discipline as well as privileges such as white privilege, male privilege, and being able-bodied""",https://en.wikipedia.org/wiki/Scratch_Beginnings
Adib Khorram,M,"MENA, White",,"""As a mixed-race Iranian-American myself, I mostly pulled from my own experiences."" author describing main character, who is White and Iranian",https://www.apalaweb.org/apala-author-interview-adib-khorram/
Alan Paton,M,White,,"""''I had an eye on my fellow white South Africans and white Americans when I wrote the book,'' Mr. Paton said.""",https://www.nytimes.com/1988/04/13/obituaries/alan-paton-author-who-fought-against-apartheid-is-dead-at-85.html
Albert Camus,M,White ,,"""Camus was born in French Algeria to Pieds Noirs parents""",https://en.wikipedia.org/wiki/Albert_Camus
Aldous Huxley,M,White ,,"""Born into the prominent Huxley family, he graduated from Balliol College, Oxford, with an undergraduate degree in English literature.""",https://en.wikipedia.org/wiki/Aldous_Huxley
Alex Haley,M,"Black, Native/Indigenous, White",,"""The family had Mandinka, other African, Cherokee, Scottish, and Scottish-Irish roots.""",https://en.wikipedia.org/wiki/Alex_Haley
Alexander Solzhenitsyn,M,White ,,"""His father, Isaakiy Semyonovich Solzhenitsyn, was of Russian descent and his mother, Taisiya Zakharovna (née Shcherbak), was of Ukrainian descent.""",https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn
Alexandre Dumas,M,"Black, White",,"""Their parents were Marie-Louise Élisabeth Labouret, the daughter of an innkeeper, and Thomas-Alexandre Dumas. Thomas-Alexandre had been born in the French colony of Saint-Domingue (now Haiti), the mixed-race, natural son of the marquis Alexandre Antoine Davy de la Pailleterie (Antoine), a French nobleman and général commissaire in the artillery of the colony, and Marie-Cessette Dumas, an enslaved woman of Afro-Caribbean ancestry.""",https://en.wikipedia.org/wiki/Alexandre_Dumas
Alice Walker,F,Black ,,"""In 1982, she became the first African-American woman to win the Pulitzer Prize for Fiction, which she was awarded for her novel The Color Purple""",https://en.wikipedia.org/wiki/Alice_Walker
Amy Tan,F,Asian,,"""Born in the U.S. to immigrant parents from China, Amy Tan grew up in the San Francisco Bay Area in a succession of twelve homes by the time she graduated from high school. """,http://www.amytan.net/about.html
An Na,F,Asian,,"""An Na (born 1972) is a South Korea-born[1] American children's book author.""",https://en.wikipedia.org/wiki/An_Na
Angie Thomas,F,Black,,"""""I think a lot of African-Americans can understand that,” she says. “Especially if you’re put into a lot of white spaces – like me today,”""",https://www.theguardian.com/books/2017/mar/26/angie-thomas-the-debut-novelist-who-turned-racism-and-police-violence-into-a-bestseller
